Category,Subcategory,Generic drug / agent,Common routes
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Colistin / Colistimethate,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Trimethoprim-sulfamethoxazole,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Doxycycline,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Azithromycin,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Fluconazole,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Voriconazole,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Anidulafungin,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Caspofungin,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Micafungin,"IV, topical, irrigation depending on drug"
Antimicrobials often given intraoperatively,Antibiotic/antifungal/antiseptic,Amphotericin B,"IV, topical, irrigation depending on drug"
